842,Asclepias viridis,,182
381,Asimina triloba,,183
654,Asparagus officinalis,,184
691,Asphodelus fistulosus,,185
1616,Aspidotis densa,,186
6,Asplenium bulbiferum,,187
965,Asplenium flabellifolium,,188
86,Asplenium flaccidum,,189
1000,Asplenium oblongifolium,,190
1868,Asplenium platyneuron,,191
541,Asplenium polyodon,,192
141,Asplenium rhizophyllum,,193
684,Asplenium ruta-muraria,,194
403,Asplenium trichomanes,,195
91,Astelia fragrans,,196
839,Asyneuma prenanthoides,,197
103,Athyrium filix-femina,,198
36,Atrichoseris platyphylla,,199
1142,Atriplex canescens,,200
430,Atriplex hymenelytra,,201
184,Atriplex lentiformis,,202
628,Atriplex prostrata,,203
823,Avena fatua,,204
772,Avicennia germinans,,205
645,Baccharis halimifolia,,206
1132,Baccharis neglecta,,207
154,Baccharis pilularis,,208
126,Baccharis salicifolia,,209
281,Baccharis sarothroides,,210
437,Bacopa monnieri,,211
674,Baileya multiradiata,,212
1220,Balsamorhiza sagittata,,213
2027,Baptisia alba,,214
432,Baptisia australis,,215
562,Baptisia bracteata,,216
1771,Barbarea vulgaris,,217
1531,Beilschmiedia tawa,,218
467,Bellardia trixago,,219
1594,Bellis perennis,,220
968,Berberis aquifolium,,221
441,Berberis nervosa,,222
1974,Berberis repens,,223
290,Berberis thunbergii,,224
1997,Berberis trifoliolata,,225
443,Berberis vulgaris,,226
1300,Berchemia scandens,,227
444,Berteroa incana,,228
168,Betula alleghaniensis,,229
0,Betula lenta,,230
608,Betula nigra,,231
1087,Betula papyrifera,,232
450,Betula pendula,,233
170,Betula populifolia,,234
473,Bidens alba,,235
446,Bidens cernua,,236
1816,Bidens frondosa,,237
238,Bidens pilosa,,238
1373,Bignonia capreolata,,239
995,Bistorta bistortoides,,240
975,Blechnum chambersii,,241
1840,Blechnum discolor,,242
1721,Blechnum filiforme,,243
1824,Blechnum fluviatile,,244
2092,Blechnum novae-zelandiae,,245
1367,Blechnum penna-marina,,246
901,Blechnum procerum,,247
1520,Blechnum spicant,,248
226,Bloomeria crocea,,249
2090,Boehmeria cylindrica,,250
1100,Boerhavia coccinea,,251
712,Borago officinalis,,252
1088,Borrichia frutescens,,253
460,Bothriochloa ischaemum,,254
1114,Bothriochloa laguroides,,255
140,Botrychium dissectum,,256
464,Botrypus virginianus,,257
466,Bouteloua curtipendula,,258
275,Bouteloua dactyloides,,259
1441,Bouteloua gracilis,,260
117,Bouvardia ternifolia,,261
109,Brachyglottis repanda,,262
469,Brasenia schreberi,,263
952,Brassica nigra,,264
1008,Brassica rapa,,265
304,Brickellia californica,,266
2044,Briza maxima,,267
2047,Briza minor,,268
572,Brodiaea elegans,,269
824,Bromus diandrus,,270
825,Bromus hordeaceus,,271
233,Bromus tectorum,,272
1270,Broussonetia papyrifera,,273
481,Buddleja davidii,,274
1022,Buglossoides arvensis,,275
585,Bursera simaruba,,276
707,Butomus umbellatus,,277
699,Caesalpinia pulcherrima,,278
677,Cakile edentula,,279
852,Cakile maritima,,280
1792,Calandrinia menziesii,,281
482,Calendula officinalis,,282
706,Calla palustris,,283
9,Callicarpa americana,,284
1456,Callirhoe involucrata,,285
1600,Callirhoe pedata,,286
982,Callistemon citrinus,,287
1173,Calluna vulgaris,,288
1965,Calocedrus decurrens,,289
475,Calochortus albus,,290
1919,Calochortus amabilis,,291
1240,Calochortus leichtlinii,,292
411,Calochortus luteus,,293
261,Calochortus nuttallii,,294
485,Calochortus plummerae,,295
1584,Calochortus pulchellus,,296
