114,Catharus minimus,202
511,Catharus ustulatus,203
900,Catherpes mexicanus,204
459,Cepphus columba,205
461,Cepphus grylle,206
486,Cerorhinca monocerata,207
653,Certhia americana,208
286,Ceryle rudis,209
770,Chaetura pelagica,210
769,Chaetura vauxi,211
848,Chamaea fasciata,212
539,Charadrius dubius,213
558,Charadrius hiaticula,214
536,Charadrius melodus,215
434,Charadrius montanus,216
609,Charadrius nivosus,217
642,Charadrius semipalmatus,218
534,Charadrius vociferus,219
535,Charadrius wilsonia,220
847,Chen caerulescens,221
145,Chen rossii,222
869,Chenonetta jubata,223
269,Chlidonias niger,224
737,Chloris chloris,225
287,Chloroceryle aenea,226
288,Chloroceryle amazona,227
932,Chloroceryle americana,228
663,Chlorophanes spiza,229
248,Chondestes grammacus,230
317,Chordeiles acutipennis,231
316,Chordeiles minor,232
617,Chroicocephalus novaehollandiae,233
615,Chroicocephalus philadelphia,234
618,Chroicocephalus ridibundus,235
741,Chroicocephalus scopulinus,236
634,Ciccaba virgata,237
519,Ciconia ciconia,238
144,Cinclus cinclus,239
555,Cinclus mexicanus,240
294,Cinnyris jugularis,241
616,Circaetus gallicus,242
598,Circus aeruginosus,243
597,Circus approximans,244
764,Circus cyaneus,245
254,Circus cyaneus hudsonius,246
948,Cistothorus palustris,247
631,Cistothorus platensis,248
868,Clangula hyemalis,249
158,Coccothraustes coccothraustes,250
157,Coccothraustes vespertinus,251
201,Coccyzus americanus,252
199,Coccyzus erythropthalmus,253
200,Coccyzus minor,254
578,Cochlearius cochlearius,255
208,Coereba flaveola,256
185,Colaptes auratus,257
801,Colaptes auratus auratus,258
751,Colaptes auratus cafer,259
872,Colaptes rubiginosus,260
131,Colinus virginianus,261
307,Columba livia,262
958,Columba livia domestica,263
310,Columba palumbus,264
551,Columbina inca,265
338,Columbina passerina,266
341,Columbina talpacoti,267
943,Contopus cooperi,268
942,Contopus pertinax,269
938,Contopus sordidulus,270
941,Contopus virens,271
216,Copsychus malabaricus,272
753,Copsychus saularis,273
246,Coracias benghalensis,274
245,Coracias caudatus,275
244,Coracias garrulus,276
528,Coragyps atratus,277
227,Corvus albus,278
867,Corvus brachyrhynchos,279
865,Corvus caurinus,280
362,Corvus corax,281
300,Corvus cornix,282
939,Corvus corone,283
954,Corvus frugilegus,284
951,Corvus monedula,285
952,Corvus ossifragus,286
955,Corvus splendens,287
214,Crax rubra,288
344,Crotophaga ani,289
203,Crotophaga sulcirostris,290
194,Cuculus canorus,291
218,Cyanerpes cyaneus,292
665,Cyanistes caeruleus,293
3,Cyanocitta cristata,294
4,Cyanocitta stelleri,295
947,Cyanocompsa parellina,296
28,Cyanocorax yncas,297
27,Cyanocorax yucatanicus,298
940,Cyanoramphus novaezelandiae,299
49,Cygnus atratus,300
814,Cygnus buccinator,301
816,Cygnus columbianus,302
815,Cygnus cygnus,303
817,Cygnus olor,304
427,Cynanthus latirostris,305
142,Cyrtonyx montezumae,306
746,Dacelo novaeguineae,307
887,Delichon urbicum,308
878,Dendragapus fuliginosus,309
899,Dendragapus obscurus,310
431,Dendrocopos major,311
809,Dendrocygna autumnalis,312
811,Dendrocygna bicolor,313
810,Dendrocygna viduata,314
675,Dicrurus adsimilis,315
162,Diglossa baritula,316
646,Dives dives,317
249,Dolichonyx oryzivorus,318
58,Dryocopus lineatus,319
150,Dryocopus pileatus,320
797,Dumetella carolinensis,321
560,Egretta caerulea,322
563,Egretta garzetta,323
559,Egretta gularis,324
61,Egretta novaehollandiae,325
588,Egretta rufescens,326
564,Egretta sacra,327
562,Egretta thula,328
561,Egretta tricolor,329
875,Elanoides forficatus,330
626,Elanus leucurus,331
724,Emberiza calandra,332
93,Emberiza citrinella,333
95,Emberiza schoeniclus,334
17,Empidonax difficilis,335
19,Empidonax fulvifrons,336
21,Empidonax hammondii,337
18,Empidonax minimus,338
22,Empidonax occidentalis,339
20,Empidonax traillii,340
871,Eolophus roseicapilla,341
523,Ephippiorhynchus senegalensis,342
292,Eremophila alpestris,343
556,Erithacus rubecula,344
664,Estrilda astrild,345
359,Eudocimus albus,346
368,Eudyptula minor,347
790,Eugenes fulgens,348
540,Eumomota superciliosa,349
492,Euphagus carolinus,350
232,Euphagus cyanocephalus,351
102,Euphonia affinis,352
100,Euphonia elegantissima,353
101,Euphonia hirundinacea,354
168,Eupsittula canicularis,355
339,Eupsittula nana,356
762,Falcipennis canadensis,357
508,Falco columbarius,358
503,Falco femoralis,359
502,Falco mexicanus,360
512,Falco novaeseelandiae,361
504,Falco peregrinus,362
505,Falco rufigularis,363
506,Falco sparverius,364
501,Falco subbuteo,365
685,Falco tinnunculus,366
640,Ficedula hypoleuca,367
760,Florisuga mellivora,368
426,Francolinus pondicerianus,369
479,Fratercula arctica,370
480,Fratercula cirrhata,371
499,Fregata magnificens,372
500,Fregata minor,373
192,Fringilla coelebs,374
191,Fringilla montifringilla,375
46,Fulica americana,376
747,Fulica atra,377
425,Fulmarus glacialis,378
488,Galbula ruficauda,379
886,Galerida cristata,380
613,Gallinago delicata,381
794,Gallinago gallinago,382
509,Gallinula chloropus,383
788,Gallinula galeata,384
33,Gallinula tenebrosa,385
43,Gallirallus australis,386
66,Gallus gallus,387
34,Gallus gallus domesticus,388
959,Garrulus glandarius,389
496,Gavia immer,390
493,Gavia pacifica,391
497,Gavia stellata,392
840,Gelochelidon nilotica,393
206,Geococcyx californianus,394
207,Geococcyx velox,395
342,Geopelia striata,396
701,Geothlypis formosa,397
700,Geothlypis philadelphia,398
306,Geothlypis tolmiei,399
153,Geothlypis trichas,400
466,Geranoaetus albicaudatus,401
629,Gerygone igata,402
929,Glaucidium brasilianum,403
596,Glaucidium gnoma,404
255,Grallina cyanoleuca,405
594,Grus americana,406
24,Grus grus,407
732,Gygis alba,408
532,Gymnogyps californianus,409
891,Gymnorhina tibicen,410
644,Gyps africanus,411
639,Gyps fulvus,412
543,Haematopus bachmani,413
761,Haematopus finschi,414
545,Haematopus ostralegus,415
736,Haematopus palliatus,416
546,Haematopus unicolor,417
0,Haemorhous cassinii,418
320,Haemorhous mexicanus,419
321,Haemorhous purpureus,420
945,Halcyon smyrnensis,421
630,Haliaeetus leucocephalus,422
882,Haliaeetus leucogaster,423
632,Haliaeetus vocifer,424
643,Haliastur indus,425
888,Helmitheros vermivorum,426
743,Hemiphaga novaeseelandiae,427
516,Herpetotheres cachinnans,428
595,Himantopus himantopus,429
460,Himantopus leucocephalus,430
542,Himantopus mexicanus,431
351,Hirundo neoxena,432
352,Hirundo rustica,433
748,Hirundo rustica erythrogaster,434
855,Histrionicus histrionicus,435
623,Hydroprogne caspia,436
889,Hylocharis leucotis,437
583,Hylocichla mustelina,438
334,Hymenolaimus malacorhynchos,439
213,Icteria virens,440
812,Icterus abeillei,441
266,Icterus bullockii,442
107,Icterus cucullatus,443
818,Icterus galbula,444
108,Icterus graduacauda,445
112,Icterus gularis,446
792,Icterus parisorum,447
111,Icterus pustulatus,448
795,Icterus spurius,449
791,Icterus wagleri,450
645,Ictinia mississippiensis,451
304,Ixobrychus exilis,452
686,Ixoreus naevius,453
418,Jabiru mycteria,454
296,Jacana jacana,455
489,Jacana spinosa,456
193,Junco hyemalis,457
36,Junco hyemalis caniceps,458
167,Junco hyemalis hyemalis,459
234,Junco hyemalis oreganus,460
195,Junco phaeonotus,461
74,Lagopus lagopus,462
688,Lampornis clemenciae,463
373,Lanius collurio,464
470,Lanius excubitor,465
772,Lanius ludovicianus,466
944,Larus argentatus,467
920,Larus argentatus smithsonianus,468
454,Larus californicus,469
448,Larus canus,470
450,Larus delawarensis,471
174,Larus dominicanus,472
734,Larus dominicanus dominicanus,473
453,Larus fuscus,474
457,Larus glaucescens,475
758,Larus glaucescens × occidentalis,476
449,Larus glaucoides,477
446,Larus heermanni,478
957,Larus hyperboreus,479
447,Larus livens,480
51,Larus marinus,481
187,Larus michahellis,482
443,Larus occidentalis,483
445,Larus thayeri,484
463,Leptoptilos crumenifer,485
325,Leptotila verreauxi,486
619,Leucophaeus atricilla,487
620,Leucophaeus pipixcan,488
381,Limnodromus griseus,489
805,Limnodromus scolopaceus,490
403,Limosa fedoa,491
402,Limosa haemastica,492
406,Limosa lapponica,493
401,Limosa limosa,494
735,Lonchura oryzivora,495
677,Lonchura punctulata,496
